inputId Score
9046 163.8069
9047 149.6990
9052 203.3564
9058 152.2789
9063 150.1570
9064 147.6027
9066 183.3220
9072 217.3782
9075 230.8581
9077 249.4136
9083 199.6970
9086 152.6143
9087 148.3096
9092 149.3056
9094 151.0849
9097 150.1443
9100 149.3894
9103 260.4125
9107 148.8851
9123 153.0511
9125 153.5083
9129 150.5855
9131 148.3051
9133 157.0981
9136 148.9895
9141 187.6781
9144 236.4661
9147 177.7826
9151 155.0443
9152 151.1406
9153 147.9091
9156 159.5616
9157 365.8506
9162 162.6475
9171 152.0069
9179 155.8023
9185 172.5905
9188 320.4156
9189 165.0291
9190 232.3431
9193 150.2060
9195 149.9593
9198 148.7502
9199 171.2506
9200 151.9118
9201 152.4794
9214 250.8090
9216 154.6115
9220 172.3945
9222 152.1775
9223 163.6432
9226 1199.7752
9235 150.8808
9241 236.3407
9243 190.2781
9246 454.8092
9247 159.8157
9251 150.8676
9252 215.9755
9261 280.8689
9263 207.6230
9265 226.9063
9266 183.9145
9267 234.8382
9276 190.2377
9277 249.8043
9285 149.9864
9287 152.1447
9289 153.2267
9290 165.7490
9291 187.2927
9292 160.8694
9293 178.1887
9296 149.7753
9299 148.3628
9301 152.4588
9306 379.1902
9312 149.1892
9316 369.1199
9326 312.1328
9327 156.2557
9328 164.9559
9332 160.4540
9336 245.0494
9339 151.3963
9341 165.4124
9343 167.8071
9348 229.7436
9350 286.3537
9355 4177.1602
9357 260.2597
9360 148.1326
9361 152.4857
9362 149.4766
9367 1799.7029
9369 152.2218
9371 334.8867
9373 165.3537
9378 147.4484
9381 214.2917
9382 150.8062
9383 167.6086
9389 2299.7061
9391 154.9386
9395 233.9544
9400 1035.8164
9402 1907.7270
9406 189.3102
9407 194.5851
9412 164.7977
9414 148.2367
9415 183.4587
9416 167.8455
9417 175.5294
9419 153.7919
9421 989.7932
9422 153.5095
9427 147.2185
9428 157.3837
9429 146.8270
9443 146.8270
9455 154.1193
9457 157.4333
9460 214.0379
9462 148.3670
9464 237.9892
9466 170.8448
9470 150.2938
9472 148.1056
9473 172.3565
9475 152.0069
9476 153.9091
9478 164.3741
9480 233.1535
9481 177.7520
9482 162.4227
9487 163.8662
9495 156.4059
9496 160.1046
9499 150.4212
9500 354.3591
9502 150.6512
9503 148.8072
9508 218.5208
9509 152.4572
9513 153.8358
9519 150.2231
9522 1618.2161
9524 148.1641
9527 3837.1259
9529 214.6741
9531 152.3567
9533 225.1206
9535 227.4315
9538 205.8848
9539 168.7030
9540 272.9658
9543 255.7200
9546 218.5020
9547 213.3207
9550 147.8442
9553 409.8121
9555 163.2369
9556 171.2031
9558 153.7712
9563 3482.2199
9564 148.6699
9566 151.9693
9567 168.0021
9578 149.9124
9583 152.6017
9586 149.9424
9589 158.6244
9592 148.5102
9593 225.3782
9598 1143.8034
9600 176.1962
9604 157.9907
9607 182.9990
9610 495.8102
9612 149.7605
9614 146.9026
9615 161.8396
9618 147.9670
9622 153.5307
9623 157.4753
9628 152.5941
9629 151.2980
9630 149.8765
9633 201.7315
9635 152.0425
9640 151.9104
9641 150.1741
9642 198.6178
9644 153.0224
9651 150.4434
9652 173.6981
9654 173.6173
9664 152.9702
9665 151.4570
9668 155.3128
9670 263.0409
9671 156.3518
9673 148.9818
9675 195.7978
9676 266.7703
9682 176.5065
9685 152.2034
9688 157.0760
9689 303.6470
9690 193.2688
9691 155.6604
9692 4208.7445
9694 163.3333
9696 152.2933
9705 150.4430
9708 168.5686
9709 174.8945
9713 151.9118
9714 153.2875
9715 239.0526
9716 160.4649
9717 244.7975
9718 287.1530
9719 151.0945
9720 156.0346
9722 149.8591
9723 150.9439
9724 162.5228
9728 151.6761
9729 151.3489
9732 170.1990
9738 152.1215
9739 367.2545
9742 215.8775
9744 149.5154
9747 161.8298
9753 248.8914
9766 189.4947
9767 225.6602
9770 151.9415
9772 167.7677
9773 187.0523
9774 160.8694
9781 150.7387
9784 191.9757
9791 273.6578
9793 149.9646
9794 297.9440
9795 148.3064
9798 215.9193
9802 240.8718
9810 163.8768
9813 158.8687
9827 194.1860
9834 219.9838
9835 153.6627
9838 152.2049
9842 315.7754
9849 149.2476
9850 180.5153
9851 150.7404
9855 748.8319
9857 148.4996
9861 187.1152
9866 205.0388
9870 210.4488
9877 152.6544
9880 201.0516
9882 148.3805
9886 156.7816
9892 178.4321
9895 148.4773
9897 178.8260
9901 149.9586
9904 151.4524
9908 149.1313
9910 195.4666
9912 215.1449
9913 149.1331
9914 284.5722
9915 151.0494
9916 171.3418
9917 151.9415
9918 276.4491
9927 152.9028
9930 153.3307
9933 151.0301
9934 190.8653
9938 152.7267
9939 1299.6893
9940 185.4237
9942 148.2504
9946 149.7679
9948 151.0127
9951 151.3915
9963 156.4667
9964 147.6435
9967 193.4216
9973 164.9878
9974 219.8796
9975 174.9748
9979 215.4206
9981 149.4304
9984 261.6583
9988 149.5144
10003 224.4601
10014 153.9473
10016 228.2016
10017 216.5479
10019 151.0815
10020 148.6650
10023 215.9338
10025 165.7125
10026 212.0399
10027 151.9118
10030 194.9443
10032 272.5887
10033 147.5662
10035 224.2071
10037 151.1318
10042 154.9254
10043 168.1098
10047 167.7364
10053 188.7402
10055 286.4029
10056 177.8171
10057 150.0847
10058 2039.4530
10059 168.6089
10061 4177.5182
10062 263.0827
10067 150.2283
10070 183.5555
10072 176.5246
10073 158.3321
10078 150.8092
10081 152.3507
10082 147.9496
10091 149.0002
10099 152.1721
10101 151.9228
10102 151.5493
10105 1153.2598
10110 309.4620
10115 189.4170
10122 217.7628
10123 147.9091
10124 174.6702
10125 153.0490
10127 146.9714
10129 192.4295
10131 229.5651
10146 152.9223
10154 198.9937
10157 168.3197
10168 536.6801
10169 152.9313
10180 162.7335
10181 150.3536
10184 264.7698
10185 151.0683
10188 162.1916
10197 177.5275
10198 164.9671
10199 199.6970
10208 147.9920
10209 151.0543
10211 155.1957
10216 162.7372
10217 147.7531
10229 150.2060
10230 179.2765
10232 148.3499
10235 150.3708
10237 148.5653
10238 158.5409
10240 151.3051
10252 213.2795
10254 148.2549
10259 156.3829
10262 220.1966
10264 149.6688
10266 1607.9885
10268 163.9496
10269 151.9118
10270 148.4549
10272 148.4168
10274 268.6664
10276 150.1865
10277 213.4103
10278 168.0333
10282 286.8163
10283 200.6735
10286 149.6912
10287 306.5137
10288 158.3786
10291 151.5849
10294 229.0372
10298 236.2604
10305 169.8564
10308 2746.8978
10309 220.0977
10313 150.3151
10326 146.7649
10327 214.3183
10331 166.6815
10333 159.1962
10335 194.2527
10339 168.7134
10340 161.1078
10347 148.3768
10348 178.1818
10354 225.9807
10356 241.5034
10362 163.1003
10365 163.0464
10366 154.9491
10369 756.9447
10372 151.1978
10373 164.7364
10381 369.0341
10383 157.8289
10384 235.9264
10388 209.6580
10392 369.8543
10393 149.7655
10397 159.6641
10398 280.6950
10405 166.5763
10413 167.5085
10416 191.2453
10423 154.9282
10428 152.7014
10432 157.8754
10433 150.3151
10436 152.4743
10441 152.4091
10442 169.5385
10444 167.7726
10445 174.0066
10448 152.6207
10449 150.8718
10455 164.5929
10456 156.6291
10458 179.8485
10460 154.5527
10465 155.4496
10467 154.8696
10474 160.2498
10475 164.3228
10476 151.1603
10479 154.0165
10483 228.6326
10486 152.6286
10489 2881.3231
10494 148.2314
10495 150.0697
10497 158.9010
10499 156.4835
10500 183.9145
10506 147.4361
10507 267.7478
10514 248.6633
10517 150.5264
10518 154.0877
10521 154.1472
10525 2608.4128
10531 235.2011
10536 150.5617
10538 337.3365
10542 198.0603
10554 147.9810
10555 256.2634
10557 154.1097
10559 149.5052
10568 204.8789
10570 158.7994
10575 149.1780
10576 152.6410
10578 147.3002
10579 1243.9566
10580 184.2283
10581 152.9776
10582 190.2538
10583 169.4854
10590 239.0526
10594 149.8563
10597 224.7644
10599 182.9130
10600 156.5199
10606 188.4270
10607 195.7166
10609 228.9778
10611 164.2200
10614 241.1016
10615 165.9902
10619 217.4869
10620 218.3513
10621 148.9145
10626 151.2922
10630 169.0630
10632 153.8896
10635 150.1900
10639 149.0080
10642 560.7993
10645 153.8574
10652 273.6833
10653 152.9959
10656 156.8056
10659 2225.0255
10662 170.1807
10665 291.9741
10666 166.3951
10667 149.9843
10668 196.6504
10670 159.7398
10672 154.4771
10674 184.5533
10677 177.0823
10687 160.1308
10691 157.2548
10692 155.7580
10703 150.0697
10708 3930.1235
10710 187.0277
10722 165.9414
10724 147.4119
10725 379.1902
10726 150.4148
