inputId Score
9046 4299.2199
9047 4228.1840
9052 1195.1142
9058 4299.2943
9063 4190.8788
9064 4295.8655
9066 4358.9176
9072 828.5995
9075 4296.8156
9077 667.2583
9083 1763.3106
9086 4330.2757
9087 4294.6886
9092 4257.7677
9094 4292.1600
9097 4229.4892
9100 4291.7340
9103 365.7667
9107 4298.0332
9123 4330.7695
9125 4110.7798
9129 4332.3859
9131 4291.5168
9133 4302.1189
9136 4222.9426
9141 4354.0315
9144 709.4439
9147 4328.9202
9151 4259.8959
9152 4192.8520
9153 4290.0112
9156 4303.1522
9157 222.1368
9162 4331.2933
9171 4087.4558
9179 4356.2130
9185 4331.0971
9188 258.3028
9189 4328.3726
9190 1270.0869
9193 4291.4495
9195 4295.2566
9198 4291.5168
9199 4356.3669
9200 4299.2740
9201 4356.5137
9214 4387.5630
9216 4302.8930
9220 4327.4733
9222 4298.2842
9223 4331.2933
9226 140.8537
9235 4330.3770
9241 4334.2167
9243 1955.2138
9246 4387.5630
9247 3417.6291
9251 4328.9087
9252 1232.5024
9261 4357.9698
9263 4323.9893
9265 4356.5137
9266 4358.9176
9267 4358.6239
9276 4361.3250
9277 4387.5700
9285 4291.5168
9287 4087.4558
9289 4031.9275
9290 4360.1445
9291 4356.5137
9292 4358.9176
9293 2150.8265
9296 4262.9515
9299 4293.5270
9301 4302.0918
9306 4387.5700
9312 4288.4967
9316 4358.9176
9326 440.8729
9327 4299.1554
9328 4328.5957
9332 4328.4201
9336 621.3582
9339 4296.8460
9341 4299.1554
9343 4354.0315
9348 4300.5451
9350 4358.6169
9355 302.6570
9357 4358.6239
9360 4293.3909
9361 4191.5997
9362 4291.7340
9367 131.1174
9369 4302.0918
9371 4360.5132
9373 4354.0245
9378 4298.8850
9381 4359.0224
9382 4297.8889
9383 4298.1473
9389 141.7084
9391 4017.8238
9395 4356.5137
9400 140.7617
9402 133.0308
9406 4361.3250
9407 4361.3250
9412 3595.2941
9414 4295.8800
9415 2875.3752
9416 4326.5163
9417 4356.2130
9419 4232.4459
9421 169.9350
9422 4010.7901
9427 4298.8850
9428 4298.1826
9429 4292.6297
9443 4292.6297
9455 4329.9820
9457 4356.5137
9460 911.3364
9462 4297.4450
9464 4387.5700
9466 4388.6851
9470 4260.9817
9472 4293.6915
9473 3229.4456
9475 4121.1910
9476 4304.7616
9478 3670.5386
9480 865.0117
9481 4332.3859
9482 3706.4231
9487 4331.2933
9495 3937.4000
9496 4330.0833
9499 4222.3187
9500 4330.3468
9502 4329.9820
9503 4297.8804
9508 4364.1699
9509 4166.6527
9513 4302.8930
9519 4295.8085
9522 134.1581
9524 4293.6915
9527 182.4949
9529 1064.4015
9531 4328.0872
9533 1062.9872
9535 4327.0021
9538 4326.0754
9539 4330.7695
9540 331.6958
9543 4356.2130
9546 4354.0315
9547 862.1864
9550 4290.0112
9553 187.6928
9555 3952.5202
9556 3634.1915
9558 4230.2482
9563 151.0807
9564 4298.8920
9566 4024.1156
9567 4295.8800
9578 4301.2045
9583 4055.1425
9586 4294.3965
9589 4004.4682
9592 4298.6082
9593 4356.5137
9598 137.3993
9600 4387.8637
9604 4161.0031
9607 4332.3859
9610 4388.6851
9612 4262.7980
9614 4290.3273
9615 3734.9834
9618 4260.7107
9622 4303.6084
9623 4328.0872
9628 4302.0918
9629 4221.7327
9630 4291.5168
9633 4297.3946
9635 4256.8535
9640 4256.6669
9641 4293.8770
9642 2051.0164
9644 4329.9820
9651 4295.5116
9652 3137.9023
9654 4327.7935
9664 4006.9400
9665 4296.8201
9668 4354.3252
9670 4330.4330
9671 4007.0791
9673 4295.2815
9675 4327.2992
9676 4387.8637
9682 4298.4242
9685 4129.1649
9688 4358.9176
9689 4358.6239
9690 4387.8637
9691 4300.2929
