layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 25 6 0.0157223412 0.0372826408 19
1 25 7 0.0372826408 0.0588429404 8
1 25 8 0.0588429404 0.0804032400 3
1 25 9 0.0804032400 0.1019635396 1
1 26 0 -0.0252587415 0.0276788118 1771
1 26 1 0.0276788118 0.0806163651 1228
1 26 2 0.0806163651 0.1335539184 685
1 26 3 0.1335539184 0.1864914717 279
1 26 4 0.1864914717 0.2394290250 64
1 26 5 0.2394290250 0.2923665783 3
1 27 0 -0.0879664608 -0.0666335009 31
1 27 1 -0.0666335009 -0.0453005410 323
1 27 2 -0.0453005410 -0.0239675811 1308
1 27 3 -0.0239675811 -0.0026346212 1805
1 27 4 -0.0026346212 0.0186983387 399
1 27 5 0.0186983387 0.0400312986 99
1 27 6 0.0400312986 0.0613642585 33
1 27 7 0.0613642585 0.0826972184 10
1 27 8 0.0826972184 0.1040301783 20
1 27 9 0.1040301783 0.1253631382 1
1 27 10 0.1253631382 0.1466960981 1
1 28 0 -0.1124919046 -0.0937357305 24
1 28 1 -0.0937357305 -0.0749795564 215
1 28 2 -0.0749795564 -0.0562233823 593
1 28 3 -0.0562233823 -0.0374672082 1370
1 28 4 -0.0374672082 -0.0187110341 1439
1 28 5 -0.0187110341 0.0000451400 388
1 28 7 0.0188013141 0.0375574882 1
1 29 0 -0.0345138736 0.0161270564 2523
1 29 1 0.0161270564 0.0667679864 835
1 29 2 0.0667679864 0.1174089164 401
1 29 3 0.1174089164 0.1680498464 186
1 29 4 0.1680498464 0.2186907764 52
1 29 5 0.2186907764 0.2693317064 31
1 29 6 0.2693317064 0.3199726364 2
1 30 0 -0.0269726697 0.0485591173 2103
1 30 1 0.0485591173 0.1240909043 1121
1 30 2 0.1240909043 0.1996226913 524
1 30 3 0.1996226913 0.2751544783 225
1 30 4 0.2751544783 0.3506862653 52
1 30 5 0.3506862653 0.4262180523 5
1 31 0 -0.0624064174 -0.0410823596 211
1 31 1 -0.0410823596 -0.0197583018 1158
1 31 2 -0.0197583018 0.0015657560 2096
1 31 3 0.0015657560 0.0228898138 275
1 31 4 0.0228898138 0.0442138716 177
1 31 5 0.0442138716 0.0655379294 77
1 31 6 0.0655379294 0.0868619872 23
1 31 7 0.0868619872 0.1081860450 11
1 31 8 0.1081860450 0.1295101028 2
1 32 0 -0.0634773179 -0.0327355372 242
1 32 1 -0.0327355372 -0.0019937565 2381
1 32 2 -0.0019937565 0.0287480242 640
1 32 3 0.0287480242 0.0594898049 497
1 32 4 0.0594898049 0.0902315856 228
1 32 5 0.0902315856 0.1209733663 37
1 32 6 0.1209733663 0.1517151470 5
1 33 0 -0.0114468112 0.0795804593 1388
1 33 1 0.0795804593 0.1706077298 1480
1 33 2 0.1706077298 0.2616350003 773
1 33 3 0.2616350003 0.3526622708 297
1 33 4 0.3526622708 0.4436895413 69
1 33 5 0.4436895413 0.5347168118 23
1 34 0 -0.0892608875 -0.0680603650 86
1 34 1 -0.0680603650 -0.0468598425 532
1 34 2 -0.0468598425 -0.0256593200 1182
1 34 3 -0.0256593200 -0.0044587975 1778
1 34 4 -0.0044587975 0.0167417250 327
1 34 5 0.0167417250 0.0379422475 82
1 34 6 0.0379422475 0.0591427700 26
1 34 7 0.0591427700 0.0803432925 14
1 34 8 0.0803432925 0.1015438150 2
1 34 9 0.1015438150 0.1227443375 1
1 35 0 -0.0995821965 -0.0712802006 50
1 35 1 -0.0712802006 -0.0429782047 411
1 35 2 -0.0429782047 -0.0146762088 1536
1 35 3 -0.0146762088 0.0136257871 1466
1 35 4 0.0136257871 0.0419277830 379
1 35 5 0.0419277830 0.0702297789 140
1 35 6 0.0702297789 0.0985317748 40
1 35 7 0.0985317748 0.1268337707 8
1 36 0 -0.0914028510 -0.0730997522 37
1 36 1 -0.0730997522 -0.0547966534 231
1 36 2 -0.0547966534 -0.0364935546 870
1 36 3 -0.0364935546 -0.0181904558 1588
1 36 4 -0.0181904558 0.0001126430 1208
1 36 5 0.0001126430 0.0184157418 45
1 36 6 0.0184157418 0.0367188406 27
1 36 7 0.0367188406 0.0550219394 11
1 36 8 0.0550219394 0.0733250382 7
1 36 9 0.0733250382 0.0916281370 5
1 36 10 0.0916281370 0.1099312358 1
1 37 0 -0.0240194779 0.0241686742 1494
1 37 1 0.0241686742 0.0723568263 1330
1 37 2 0.0723568263 0.1205449784 853
1 37 3 0.1205449784 0.1687331305 263
1 37 4 0.1687331305 0.2169212826 88
1 37 5 0.2169212826 0.2651094347 2
1 38 0 -0.0541496058 -0.0384485842 37
1 38 1 -0.0384485842 -0.0227475626 489
1 38 2 -0.0227475626 -0.0070465410 2448
1 38 3 -0.0070465410 0.0086544806 756
1 38 4 0.0086544806 0.0243555022 101
1 38 5 0.0243555022 0.0400565238 118
1 38 6 0.0400565238 0.0557575454 51
1 38 7 0.0557575454 0.0714585670 20
1 38 8 0.0714585670 0.0871595886 5
1 38 9 0.0871595886 0.1028606102 3
1 38 10 0.1028606102 0.1185616318 1
1 38 11 0.1185616318 0.1342626534 1
1 39 0 -0.0692219502 -0.0391934487 218
1 39 1 -0.0391934487 -0.0091649472 1647
1 39 2 -0.0091649472 0.0208635543 1423
1 39 3 0.0208635543 0.0508920558 448
1 39 4 0.0508920558 0.0809205573 212
1 39 5 0.0809205573 0.1109490588 68
1 39 6 0.1109490588 0.1409775603 12
1 39 7 0.1409775603 0.1710060618 2
1 40 0 -0.0348185307 0.0363058460 2178
1 40 1 0.0363058460 0.1074302227 1013
1 40 2 0.1074302227 0.1785545994 490
1 40 3 0.1785545994 0.2496789761 320
1 40 4 0.2496789761 0.3208033528 27
1 40 5 0.3208033528 0.3919277295 2
1 41 0 -0.1166871556 -0.0932267451 40
1 41 1 -0.0932267451 -0.0697663346 269
1 41 2 -0.0697663346 -0.0463059241 793
1 41 3 -0.0463059241 -0.0228455136 1514
1 41 4 -0.0228455136 0.0006148969 1301
1 41 5 0.0006148969 0.0240753074 62
1 41 6 0.0240753074 0.0475357179 42
1 41 7 0.0475357179 0.0709961284 6
1 41 8 0.0709961284 0.0944565389 3
1 42 0 -0.0151029643 0.0503243893 1243
1 42 1 0.0503243893 0.1157517429 1640
1 42 2 0.1157517429 0.1811790965 765
1 42 3 0.1811790965 0.2466064501 278
1 42 4 0.2466064501 0.3120338037 90
1 42 5 0.3120338037 0.3774611573 12
1 42 6 0.3774611573 0.4428885109 2
1 43 0 -0.0765538567 -0.0585674014 46
1 43 1 -0.0585674014 -0.0405809461 232
1 43 2 -0.0405809461 -0.0225944908 950
1 43 3 -0.0225944908 -0.0046080355 2195
1 43 4 -0.0046080355 0.0133784198 437
1 43 5 0.0133784198 0.0313648751 80
1 43 6 0.0313648751 0.0493513304 53
1 43 7 0.0493513304 0.0673377857 23
1 43 8 0.0673377857 0.0853242410 10
1 43 9 0.0853242410 0.1033106963 2
1 43 10 0.1033106963 0.1212971516 2
1 44 0 -0.0162928809 0.1148660187 1416
1 44 1 0.1148660187 0.2460249183 1489
1 44 2 0.2460249183 0.3771838179 767
1 44 3 0.3771838179 0.5083427175 282
1 44 4 0.5083427175 0.6395016171 74
1 44 5 0.6395016171 0.7706605167 2
1 45 0 -0.1071310659 -0.0884131455 47
1 45 1 -0.0884131455 -0.0696952251 194
1 45 2 -0.0696952251 -0.0509773047 641
1 45 3 -0.0509773047 -0.0322593843 1292
1 45 4 -0.0322593843 -0.0135414639 1584
1 45 5 -0.0135414639 0.0051764565 262
1 45 6 0.0051764565 0.0238943769 7
1 45 7 0.0238943769 0.0426122973 2
1 45 8 0.0426122973 0.0613302177 1
1 46 0 -0.1114925305 -0.0929091795 69
1 46 1 -0.0929091795 -0.0743258285 378
1 46 2 -0.0743258285 -0.0557424775 1027
1 46 3 -0.0557424775 -0.0371591265 1473
1 46 4 -0.0371591265 -0.0185757755 985
1 46 5 -0.0185757755 0.0000075755 98
1 47 0 -0.0041502605 0.0882233186 554
1 47 1 0.0882233186 0.1805968977 1819
1 47 2 0.1805968977 0.2729704768 973
1 47 3 0.2729704768 0.3653440559 515
1 47 4 0.3653440559 0.4577176350 145
1 47 5 0.4577176350 0.5500912141 23
1 47 6 0.5500912141 0.6424647932 1
1 48 0 -0.0024847894 0.0618978637 111
1 48 1 0.0618978637 0.1262805168 693
1 48 2 0.1262805168 0.1906631699 1780
1 48 3 0.1906631699 0.2550458230 1036
1 48 4 0.2550458230 0.3194284761 300
1 48 5 0.3194284761 0.3838111292 93
1 48 6 0.3838111292 0.4481937823 17
1 49 0 -0.0320519190 0.0703440702 1854
1 49 1 0.0703440702 0.1727400594 1216
1 49 2 0.1727400594 0.2751360486 678
1 49 3 0.2751360486 0.3775320378 208
1 49 4 0.3775320378 0.4799280270 68
1 49 5 0.4799280270 0.5823240162 6
1 50 0 -0.0864161091 -0.0707867208 37
1 50 1 -0.0707867208 -0.0551573325 234
1 50 2 -0.0551573325 -0.0395279442 980
1 50 3 -0.0395279442 -0.0238985559 1623
1 50 4 -0.0238985559 -0.0082691676 998
1 50 5 -0.0082691676 0.0073602207 122
1 50 6 0.0073602207 0.0229896090 18
1 50 7 0.0229896090 0.0386189973 7
1 50 8 0.0386189973 0.0542483856 3
1 50 9 0.0542483856 0.0698777739 5
1 50 10 0.0698777739 0.0855071622 2
1 50 13 0.1167659388 0.1323953271 1
1 51 0 -0.0084678852 0.0685558827 201
1 51 1 0.0685558827 0.1455796506 1367
1 51 2 0.1455796506 0.2226034185 1405
1 51 3 0.2226034185 0.2996271864 736
1 51 4 0.2996271864 0.3766509543 265
1 51 5 0.3766509543 0.4536747222 55
1 51 6 0.4536747222 0.5306984901 1
1 52 0 -0.0132144930 0.0614937153 611
1 52 1 0.0614937153 0.1362019236 1446
1 52 2 0.1362019236 0.2109101319 1236
1 52 3 0.2109101319 0.2856183402 610
1 52 4 0.2856183402 0.3603265485 118
1 52 5 0.3603265485 0.4350347568 9
1 53 0 -0.0720525172 -0.0387916302 138
1 53 1 -0.0387916302 -0.0055307432 1812
1 53 2 -0.0055307432 0.0277301438 1259
1 53 3 0.0277301438 0.0609910308 523
1 53 4 0.0609910308 0.0942519178 209
1 53 5 0.0942519178 0.1275128048 71
1 53 6 0.1275128048 0.1607736918 17
1 53 7 0.1607736918 0.1940345788 1
1 54 0 -0.0736221724 -0.0496379890 99
1 54 1 -0.0496379890 -0.0256538056 1153
1 54 2 -0.0256538056 -0.0016696222 2207
1 54 3 -0.0016696222 0.0223145612 291
1 54 4 0.0223145612 0.0462987446 148
1 54 5 0.0462987446 0.0702829280 89
1 54 6 0.0702829280 0.0942671114 28
1 54 7 0.0942671114 0.1182512948 6
1 54 8 0.1182512948 0.1422354782 7
1 54 9 0.1422354782 0.1662196616 1
1 54 10 0.1662196616 0.1902038450 1
1 55 0 -0.1054479211 -0.0847292645 95
1 55 1 -0.0847292645 -0.0640106079 389
1 55 2 -0.0640106079 -0.0432919513 1067
1 55 3 -0.0432919513 -0.0225732947 1662
1 55 4 -0.0225732947 -0.0018546381 777
1 55 5 -0.0018546381 0.0188640185 12
1 55 6 0.0188640185 0.0395826751 17
1 55 7 0.0395826751 0.0603013317 8
1 55 8 0.0603013317 0.0810199883 2
1 55 9 0.0810199883 0.1017386449 1
1 56 0 -0.0016515825 0.0683459525 117
1 56 1 0.0683459525 0.1383434875 1012
1 56 2 0.1383434875 0.2083410225 1471
1 56 3 0.2083410225 0.2783385575 1026
1 56 4 0.2783385575 0.3483360925 312
1 56 5 0.3483360925 0.4183336275 87
1 56 6 0.4183336275 0.4883311625 5
1 57 0 -0.0456661359 0.0029209411 1702
1 57 1 0.0029209411 0.0515080181 1164
1 57 2 0.0515080181 0.1000950951 723
1 57 3 0.1000950951 0.1486821721 313
1 57 4 0.1486821721 0.1972692491 108
1 57 5 0.1972692491 0.2458563261 18
1 57 6 0.2458563261 0.2944434031 2
1 58 0 -0.0238105776 0.0473957783 754
1 58 1 0.0473957783 0.1186021342 1602
1 58 2 0.1186021342 0.1898084901 1068
1 58 3 0.1898084901 0.2610148460 466
1 58 4 0.2610148460 0.3322212019 127
1 58 5 0.3322212019 0.4034275578 13
1 59 0 -0.1081966676 -0.0897273854 23
1 59 1 -0.0897273854 -0.0712581032 101
1 59 2 -0.0712581032 -0.0527888210 458
1 59 3 -0.0527888210 -0.0343195388 1163
1 59 4 -0.0343195388 -0.0158502566 1661
1 59 5 -0.0158502566 0.0026190256 589
1 59 6 0.0026190256 0.0210883078 17
1 59 7 0.0210883078 0.0395575900 14
1 59 8 0.0395575900 0.0580268722 3
1 59 10 0.0764961544 0.0949654366 1
1 60 0 -0.0843657099 -0.0657593821 39
1 60 1 -0.0657593821 -0.0471530543 369
1 60 2 -0.0471530543 -0.0285467265 1168
1 60 3 -0.0285467265 -0.0099403987 1775
1 60 4 -0.0099403987 0.0086659291 531
1 60 5 0.0086659291 0.0272722569 97
1 60 6 0.0272722569 0.0458785847 32
1 60 7 0.0458785847 0.0644849125 11
1 60 8 0.0644849125 0.0830912403 4
1 60 9 0.0830912403 0.1016975681 3
1 60 11 0.1203038959 0.1389102237 1
1 61 0 -0.0138165098 0.1070375903 1123
1 61 1 0.1070375903 0.2278916904 1628
1 61 2 0.2278916904 0.3487457905 797
1 61 3 0.3487457905 0.4695998906 399
1 61 4 0.4695998906 0.5904539907 82
1 61 5 0.5904539907 0.7113080908 1
1 62 0 -0.0297355630 0.0632112527 1698
1 62 1 0.0632112527 0.1561580684 1274
1 62 2 0.1561580684 0.2491048841 772
1 62 3 0.2491048841 0.3420516998 232
1 62 4 0.3420516998 0.4349985155 53
1 62 5 0.4349985155 0.5279453312 1
1 63 0 0.0023280235 0.0835972550 386
1 63 1 0.0835972550 0.1648664865 1428
1 63 2 0.1648664865 0.2461357180 1324
1 63 3 0.2461357180 0.3274049495 657
1 63 4 0.3274049495 0.4086741810 199
1 63 5 0.4086741810 0.4899434125 35
1 63 6 0.4899434125 0.5712126440 1
1 64 0 -0.0162360049 0.0802213406 835
1 64 1 0.0802213406 0.1766786861 1601
1 64 2 0.1766786861 0.2731360316 905
1 64 3 0.2731360316 0.3695933771 597
1 64 4 0.3695933771 0.4660507226 91
1 64 5 0.4660507226 0.5625080681 1
1 65 0 -0.0231509353 0.0968108989 1068
1 65 1 0.0968108989 0.2167727331 1629
1 65 2 0.2167727331 0.3367345673 899
1 65 3 0.3367345673 0.4566964015 344
1 65 4 0.4566964015 0.5766582357 83
1 65 5 0.5766582357 0.6966200699 7
1 66 0 -0.0819899355 -0.0562344045 132
1 66 1 -0.0562344045 -0.0304788735 999
1 66 2 -0.0304788735 -0.0047233425 1968
1 66 3 -0.0047233425 0.0210321885 568
1 66 4 0.0210321885 0.0467877195 226
1 66 5 0.0467877195 0.0725432505 117
1 66 6 0.0725432505 0.0982987815 14
1 66 7 0.0982987815 0.1240543125 6
1 67 0 -0.0796026157 -0.0552826351 97
1 67 1 -0.0552826351 -0.0309626545 762
1 67 2 -0.0309626545 -0.0066426739 1985
1 67 3 -0.0066426739 0.0176773067 775
1 67 4 0.0176773067 0.0419972873 286
1 67 5 0.0419972873 0.0663172679 76
1 67 6 0.0663172679 0.0906372485 45
1 67 7 0.0906372485 0.1149572291 4
1 68 0 -0.0461631267 -0.0381594001 2
1 68 1 -0.0381594001 -0.0301556735 99
1 68 2 -0.0301556735 -0.0221519469 692
1 68 3 -0.0221519469 -0.0141482203 1792
1 68 4 -0.0141482203 -0.0061444937 1129
1 68 5 -0.0061444937 0.0018592329 252
1 68 6 0.0018592329 0.0098629595 20
1 68 7 0.0098629595 0.0178666861 24
1 68 8 0.0178666861 0.0258704127 9
1 68 9 0.0258704127 0.0338741393 7
1 68 10 0.0338741393 0.0418778659 2
1 68 11 0.0418778659 0.0498815925 1
1 68 12 0.0498815925 0.0578853191 1
1 69 0 -0.0815805417 -0.0576243016 32
1 69 1 -0.0576243016 -0.0336680615 368
1 69 2 -0.0336680615 -0.0097118214 1837
1 69 3 -0.0097118214 0.0142444187 1289
1 69 4 0.0142444187 0.0382006588 277
1 69 5 0.0382006588 0.0621568989 156
1 69 6 0.0621568989 0.0861131390 60
1 69 7 0.0861131390 0.1100693791 8
1 69 8 0.1100693791 0.1340256192 3
1 70 0 -0.0960600841 -0.0701915649 15
1 70 1 -0.0701915649 -0.0443230457 238
1 70 2 -0.0443230457 -0.0184545265 1190
1 70 3 -0.0184545265 0.0074139927 2040
1 70 4 0.0074139927 0.0332825119 286
1 70 5 0.0332825119 0.0591510311 149
1 70 6 0.0591510311 0.0850195503 88
1 70 7 0.0850195503 0.1108880695 21
1 70 8 0.1108880695 0.1367565887 2
1 70 9 0.1367565887 0.1626251079 1
1 71 0 -0.0258384867 0.0429565168 1790
1 71 1 0.0429565168 0.1117515203 1243
1 71 2 0.1117515203 0.1805465238 660
1 71 3 0.1805465238 0.2493415273 297
1 71 4 0.2493415273 0.3181365308 40
1 72 0 -0.0287403011 0.0786799847 1871
1 72 1 0.0786799847 0.1861002705 1149
1 72 2 0.1861002705 0.2935205563 728
1 72 3 0.2935205563 0.4009408421 218
1 72 4 0.4009408421 0.5083611279 63
1 72 5 0.5083611279 0.6157814137 1
1 73 0 -0.0103055618 0.0638044571 706
1 73 1 0.0638044571 0.1379144760 1576
1 73 2 0.1379144760 0.2120244949 1120
1 73 3 0.2120244949 0.2861345138 487
1 73 4 0.2861345138 0.3602445327 129
1 73 5 0.3602445327 0.4343545516 12
1 74 0 -0.0238423328 0.0746123451 1473
1 74 1 0.0746123451 0.1730670230 1448
1 74 2 0.1730670230 0.2715217009 757
1 74 3 0.2715217009 0.3699763788 289
1 74 4 0.3699763788 0.4684310567 62
1 74 5 0.4684310567 0.5668857346 1
1 75 0 -0.0162481987 0.0548744688 1329
1 75 1 0.0548744688 0.1259971363 1398
1 75 2 0.1259971363 0.1971198038 850
1 75 3 0.1971198038 0.2682424713 370
1 75 4 0.2682424713 0.3393651388 81
1 75 5 0.3393651388 0.4104878063 2
1 76 0 -0.0965028567 -0.0758850876 57
1 76 1 -0.0758850876 -0.0552673185 304
1 76 2 -0.0552673185 -0.0346495494 969
1 76 3 -0.0346495494 -0.0140317803 1562
1 76 4 -0.0140317803 0.0065859888 982
1 76 5 0.0065859888 0.0272037579 111
1 76 6 0.0272037579 0.0478215270 41
1 76 7 0.0478215270 0.0684392961 4
1 77 0 -0.0107820730 0.0752353562 327
1 77 1 0.0752353562 0.1612527854 1192
1 77 2 0.1612527854 0.2472702146 1497
1 77 3 0.2472702146 0.3332876438 766
1 77 4 0.3332876438 0.4193050730 225
1 77 5 0.4193050730 0.5053225022 23
1 78 0 -0.1130333596 -0.0934612395 40
1 78 1 -0.0934612395 -0.0738891194 213
1 78 2 -0.0738891194 -0.0543169993 696
1 78 3 -0.0543169993 -0.0347448792 1236
1 78 4 -0.0347448792 -0.0151727591 1455
1 78 5 -0.0151727591 0.0043993610 390
1 79 0 -0.0202705646 0.0781079676 687
1 79 1 0.0781079676 0.1764864998 1491
1 79 2 0.1764864998 0.2748650320 1175
1 79 3 0.2748650320 0.3732435642 549
1 79 4 0.3732435642 0.4716220964 121
1 79 5 0.4716220964 0.5700006286 7
